Modèle,Accuracy,Precision,Recall,F1-Score,ROC-AUC
RANDOMFOREST,0.631578947368421,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.6750700280112045
XGBOOST,0.631578947368421,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.7254901960784312
SVM,0.5789473684210527,1.0,0.058823529411764705,0.1111111111111111,0.6302521008403361
