Modèle,Accuracy,Precision,Recall,F1,ROC-AUC
random_forest,0.9473684210526315,1.0,0.8823529411764706,0.9375,0.9761904761904762
xgboost,0.8947368421052632,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9635854341736695
svm,0.5263157894736842,0.45454545454545453,0.29411764705882354,0.35714285714285715,0.7787114845938375
lightgbm,0.8947368421052632,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9439775910364147
